Epoch,Train_CLS_Loss,Train_SAC_Loss,Test_Accuracy,Test_Loss,Conf_Threshold,Epoch_Time_s,Cumulative_Time_s
1,0.9865331529609619,0.2256914123652443,62.6,1.4528280250609866,0.8,55.88018488883972,55.88018488883972
2,0.27044334671189707,0.14972833643156674,64.25,1.5893137894925617,0.803061224489796,54.131916761398315,110.01210165023804
3,0.11871907036871679,0.05115969084022987,62.1,1.8174397727799794,0.8061224489795918,52.89203977584839,162.90414142608643
4,0.09484655040526582,0.048341042812793486,66.75,1.6571795088904244,0.8091836734693878,51.79931020736694,214.70345163345337
5,0.09626236125346153,0.03355897202967636,72.45,1.4564526856891693,0.8122448979591838,52.075077056884766,266.77852869033813
6,0.09131047654626591,0.02884265628733462,75.85,1.4198545435118297,0.8153061224489796,51.11824035644531,317.89676904678345
7,0.07733731913650709,0.017828245797464923,73.3,1.416555316675277,0.8183673469387756,51.07978296279907,368.9765520095825
8,0.06289782106215434,0.047451288739760074,69.05,1.8002919507405115,0.8214285714285715,51.19096660614014,420.16751861572266
9,0.05908325911244197,0.023537059104250323,70.35,1.584323884002746,0.8244897959183674,50.77890658378601,470.94642519950867
10,0.06631442583766917,0.016772056539212505,71.55,1.5435567867188227,0.8275510204081633,51.19274830818176,522.1391735076904
11,0.037713842781921546,0.016865491266212156,65.2,2.1802210751033964,0.8306122448979593,51.36351990699768,573.5026934146881
12,0.05627515152258228,0.03209616544265901,72.7,1.7804971573844788,0.8336734693877551,50.99219846725464,624.4948918819427
13,0.039051919779364744,0.015507711998877986,75.45,1.762271905702258,0.8367346938775511,51.001962661743164,675.4968545436859
14,0.03758547886466277,0.016757577657699585,73.2,1.8746281691959925,0.8397959183673469,51.369035482406616,726.8658900260925
15,0.07941286078458952,0.020354849436590747,67.8,1.5327416786125727,0.8428571428571429,51.38371467590332,778.2496047019958
16,0.05472364622889267,0.021488066206896497,72.8,1.3585711963593015,0.8459183673469388,51.58806085586548,829.8376655578613
