Epoch,Train_CLS_Loss,Train_SAC_Loss,Test_Accuracy,Test_Loss,Epoch_Time_s,Cumulative_Time_s
1,1.0283672401020605,0.23980787378405372,67.0,1.3542206173851377,56.9592661857605,56.9592661857605
2,0.269597579514788,0.16896279042045917,67.55,1.3316870445296878,55.49210071563721,112.4513669013977
3,0.14327948958042167,0.09526045439434389,61.25,1.608963200024196,53.696258544921875,166.14762544631958
4,0.10239163497763296,0.04390251948948829,60.75,1.816464484684051,51.00077247619629,217.14839792251587
5,0.1054078086069034,0.024155022756707285,61.15,1.6628315557563116,50.777963161468506,267.9263610839844
6,0.05097793625487435,0.03327697166992772,59.1,1.8056200553500463,51.00405669212341,318.9304177761078
7,0.05924615917742373,0.018849908704719236,64.3,1.694822473185403,51.36464476585388,370.29506254196167
8,0.04867213382385671,0.008981710194700187,63.15,1.5960758512928372,51.19436860084534,421.489431142807
9,0.03732966698683618,0.019449292291556636,63.2,1.6057541266320243,51.17335033416748,472.6627814769745
10,0.036900183221610684,0.011519282335235227,66.6,1.683713350031111,50.7865514755249,523.4493329524994
11,0.01717405742214572,0.018523792525933634,68.05,1.7242895185001312,50.78329086303711,574.2326238155365
12,0.05245975958513877,0.01653900721500958,62.9,1.7767446315477764,51.108062982559204,625.3406867980957
13,0.06415948128485452,0.016549085357016134,61.6,1.6946007864815849,50.36761450767517,675.7083013057709
14,0.04263105238938043,0.025498052022509998,64.4,1.791624072998289,51.181177377700806,726.8894786834717
15,0.05585678321714964,0.04129409069015134,62.15,1.9498777266532656,50.786519050598145,777.6759977340698
16,0.06716548536543644,0.009683846105490961,64.25,1.6606553660498724,50.78911089897156,828.4651086330414
17,0.06521010994460553,0.025364637795475223,70.6,1.7484101198968434,50.96251821517944,879.4276268482208
18,0.02326096543730537,0.026200556616869666,68.55,1.8587464945656913,50.72298884391785,930.1506156921387
19,0.05871731414639902,0.01025049893125411,68.8,1.6861686905225117,50.55351161956787,980.7041273117065
20,0.019712740256856646,0.01364989835588682,71.95,1.5027463852413117,50.98904466629028,1031.6931719779968
21,0.02565343192996337,0.011421275114820849,70.95,1.5616670979393854,50.717201471328735,1082.4103734493256
22,0.029032770806225017,0.018574082202488375,67.05,1.832921448208037,51.16575789451599,1133.5761313438416
23,0.05322973703169414,0.015106260416007811,73.1,1.4972023022553278,50.96017265319824,1184.5363039970398
24,0.03683664205281304,0.018142620221741738,69.8,1.4591310024261475,51.52495193481445,1236.0612559318542
25,0.04916948289328796,0.011494472502700744,70.4,1.5338094262849717,51.163543462753296,1287.2247993946075
26,0.03274590106992682,0.024349613746087396,70.4,1.520140769462737,50.77159237861633,1337.9963917732239
27,0.028403836898618348,0.009357286174030553,70.4,1.549698065197657,51.381537437438965,1389.3779292106628
28,0.04372468989177217,0.03469822309430568,67.2,1.6076277579580034,51.18057584762573,1440.5585050582886
29,0.06593177141340059,0.030394039327098478,72.45,1.5490064204685272,51.3899667263031,1491.9484717845917
30,0.027540787937112093,0.020437279085238135,72.95,1.7682088197223724,50.58401799201965,1542.5324897766113
31,0.03584670621222035,0.017779763787984848,72.2,1.3445528915950231,50.99709725379944,1593.5295870304108
32,0.025091629949465934,0.025590811645792376,66.6,1.5944664383691454,51.35233783721924,1644.88192486763
33,0.0323118748145193,0.005730099134868191,72.2,1.382482868338388,50.38793659210205,1695.269861459732
34,0.03403741579630502,0.020368133341112444,71.8,1.4198025658963218,50.97719740867615,1746.2470588684082
35,0.0129723987225706,0.014889204904677407,71.7,1.4898063232974401,51.17202115058899,1797.4190800189972
36,0.01907218943796902,0.013778536760758969,72.1,1.3401319100743248,51.5834755897522,1849.0025556087494
37,0.024636337934005555,0.015375252107098218,72.15,1.4029814988847762,51.583189964294434,1900.5857455730438
38,0.011965385938134615,0.014081671954162659,75.6,1.3868695767152877,50.99844479560852,1951.5841903686523
39,0.01276347582508254,0.0187701637210745,74.8,1.3110630611578624,52.28268027305603,2003.8668706417084
40,0.020623029148649243,0.0162603858362643,74.35,1.4079657991727192,51.17466974258423,2055.0415403842926
41,0.018215813967887493,0.010839913881594134,74.7,1.3791905305688343,50.3974814414978,2105.4390218257904
42,0.02028923708337149,0.03205891314052766,76.45,1.3813461878943065,51.75635814666748,2157.195379972458
43,0.03943028577322689,0.021963135850044987,73.25,1.5880624746519423,51.29686713218689,2208.492247104645
44,0.0518782422929484,0.0005506296311655353,73.55,1.2616820704369318,50.608110427856445,2259.100357532501
45,0.02540962275628361,0.022668489852109022,67.5,1.665421071506682,50.95368981361389,2310.054047346115
46,0.034240435517858714,0.03574099211442855,71.0,1.4030629666078658,51.575093030929565,2361.6291403770447
47,0.057163261267687046,0.03340218816283009,64.8,1.6214075291913652,51.58544564247131,2413.214586019516
48,0.0531588512615511,0.016170433452052456,63.95,1.6229164032709031,51.17801094055176,2464.3925969600677
49,0.04114664537548613,0.02876583867586188,65.2,1.759497783959858,53.18940496444702,2517.5820019245148
50,0.027971590795899712,0.010748324765553397,63.7,1.584764371788691,51.570730447769165,2569.152732372284
