Epoch,Train_CLS_Loss,Train_SAC_Loss,Test_Accuracy,Test_Loss,Conf_Threshold,Epoch_Time_s,Cumulative_Time_s
1,0.9725435119002096,0.20985179322381173,68.75,1.2142080293288307,0.8,55.22496294975281,55.22496294975281
2,0.2617524823233966,0.1635696048577947,64.25,1.4541249980056097,0.8051724137931034,55.09917664527893,110.32413959503174
3,0.12200071428331637,0.05560837479518546,66.65,1.5772933557866111,0.810344827586207,52.99044108390808,163.31458067893982
4,0.10717689972971717,0.059248724306422855,63.75,1.8654102389774625,0.8155172413793104,52.780070543289185,216.094651222229
5,0.08514462980712133,0.024980614322327798,72.2,1.2935945107823326,0.8206896551724139,52.19597864151001,268.290629863739
6,0.05058696641091017,0.016708051875954675,69.75,1.5794959962368011,0.8258620689655173,51.5832200050354,319.8738498687744
7,0.0523081345656406,0.020989321322450714,68.8,1.7665896642775762,0.8310344827586207,51.38956832885742,371.26341819763184
8,0.045468687733274796,0.024851625409698295,68.35,1.6112658901820107,0.8362068965517242,51.81356906890869,423.0769872665405
9,0.06709385139777535,0.02920950117010263,68.1,1.7686652720920624,0.8413793103448276,51.1633026599884,474.24028992652893
10,0.08064196240006676,0.02940410898337441,70.65,1.6347122987111409,0.846551724137931,51.39138913154602,525.631679058075
11,0.047462660875622065,0.01726367853341564,71.8,1.6233357787132263,0.8517241379310345,52.133323669433594,577.7650027275085
12,0.032757315621335784,0.016188120093917655,70.75,1.5398034822373163,0.8568965517241379,51.37063002586365,629.1356327533722
13,0.021101729958430834,0.015439929500702889,69.45,1.4643719570031242,0.8620689655172414,50.767765522003174,679.9033982753754
14,0.012890057597917715,0.015120327172260131,72.0,1.6311939566854448,0.8672413793103448,51.20884132385254,731.1122395992279
15,0.017713609662267468,0.018731453726368565,71.55,1.3994775934824868,0.8724137931034482,51.178114891052246,782.2903544902802
16,0.08167639141831914,0.014533321222951335,70.5,1.7205082755240182,0.8775862068965518,50.54792356491089,832.838278055191
17,0.07835310305498781,0.013850963494229701,67.8,1.4174261436102882,0.8827586206896552,51.170382261276245,884.0086603164673
18,0.06369825641834928,0.06185024450983732,71.25,1.779104943313296,0.8879310344827586,51.75363612174988,935.7622964382172
19,0.036907449892286455,0.019729606506805265,72.3,1.346913718988025,0.8931034482758621,50.833433389663696,986.5957298278809
20,0.05317186389396328,0.03316273056571522,72.75,1.334470896493821,0.8982758620689655,51.58644461631775,1038.1821744441986
21,0.0503594797994611,0.007304749241279018,70.25,1.3821303678883448,0.903448275862069,51.016401052474976,1089.1985754966736
22,0.04127681610970608,0.025288635264000586,71.3,1.4112050902275812,0.9086206896551724,51.55163598060608,1140.7502114772797
23,0.043775946232340025,0.02707855992259518,66.45,1.6303022503852844,0.9137931034482758,50.60244107246399,1191.3526525497437
24,0.047064013178310084,0.024773088734476797,74.5,1.2409810631994218,0.9189655172413793,50.77455139160156,1242.1272039413452
25,0.04079767548471629,0.02142466821016804,68.75,1.5989144945901537,0.9241379310344827,51.07114911079407,1293.1983530521393
26,0.035173581475617305,0.0054106121101687036,74.8,1.3771768415731096,0.9293103448275861,50.542879581451416,1343.7412326335907
27,0.03272308766533951,0.01792416610424557,72.75,1.2985179622968037,0.9344827586206896,51.0244619846344,1394.765694618225
28,0.04850549898072777,0.023893123026937246,72.55,1.5122647971387893,0.939655172413793,51.39307236671448,1446.1587669849396
29,0.04411626278588007,0.015274077173202269,75.2,1.2988626867059678,0.9448275862068966,50.590802907943726,1496.7495698928833
30,0.02863798356913556,0.015763244531568018,73.65,1.2924527100154333,0.95,51.64054822921753,1548.3901181221008
