Epoch,Train_CLS_Loss,Train_SAC_Loss,Test_Accuracy,Test_Loss,Conf_Threshold,Epoch_Time_s,Cumulative_Time_s
1,1.1704144641160965,0.05980246549844742,89.0,0.9838802747726441,0.6,79.7149555683136,79.7149555683136
2,0.20665420047938823,0.031888840174302456,92.0,1.0378163108825684,0.6061224489795918,81.03531193733215,160.75026750564575
3,0.1140829033255577,0.017897119702771306,92.45,1.0776560101509094,0.6122448979591837,78.21810555458069,238.96837306022644
4,0.07566713123768568,0.011388921231031418,90.05,1.0689258818626404,0.6183673469387755,75.02198219299316,313.9903552532196
5,0.059893834166228774,0.013197617188096046,93.6,0.9756587631702424,0.6244897959183673,77.1764395236969,391.1667947769165
6,0.06066915423050523,0.01020884706825018,94.25,1.113610676765442,0.6306122448979592,75.78832912445068,466.9551239013672
7,0.04491234542522579,0.004443596269935369,93.4,1.0686071000099182,0.636734693877551,73.04196357727051,539.9970874786377
8,0.04759992677159607,0.008892663737758995,92.6,1.1251238884925843,0.6428571428571428,75.12614870071411,615.1232361793518
9,0.027311194769106806,0.007492656415328383,92.05,1.2069438495635987,0.6489795918367347,76.16582036018372,691.2890565395355
10,0.027826372287701816,0.010926379099488258,89.25,1.338765830039978,0.6551020408163265,74.77208518981934,766.0611417293549
11,0.05096122935600579,0.007335955798625946,93.1,1.4824431009292602,0.6612244897959183,71.35707712173462,837.4182188510895
12,0.02188564170501195,0.00611213294044137,93.9,1.0216336011886598,0.6673469387755102,72.97491359710693,910.3931324481964
13,0.031717128532240166,0.008525751432403922,93.7,1.0809674968719483,0.673469387755102,73.55709314346313,983.9502255916595
14,0.029078183728735895,0.006425400261767209,93.55,1.0473797888755798,0.6795918367346938,74.71337842941284,1058.6636040210724
15,0.01992856352799572,0.0037473916448652746,91.85,1.0491274833679198,0.6857142857142857,74.21982932090759,1132.88343334198
16,0.018465777081786656,0.0032688668593764303,92.8,0.9949467577934266,0.6918367346938775,74.17830157279968,1207.0617349147797
17,0.023170017571537756,0.00391981188300997,92.15,1.1034299550056457,0.6979591836734693,73.18522095680237,1280.246955871582
18,0.013839326257642824,0.003240780302323401,90.6,0.9665753533840179,0.7040816326530612,72.36660146713257,1352.6135573387146
19,0.015486431734869256,0.00282775048725307,91.0,0.9909396946430207,0.710204081632653,73.7818067073822,1426.3953640460968
20,0.025549652838148175,0.004777598774991929,90.5,0.924112322807312,0.7163265306122448,75.22720074653625,1501.622564792633
21,0.009591535969811958,0.003614799755625427,88.25,1.0724040627479554,0.7224489795918367,73.1918032169342,1574.8143680095673
22,0.01356382335285889,0.002811644356697798,91.25,1.0246444792747498,0.7285714285714285,72.69903516769409,1647.5134031772614
23,0.007119392548687756,0.001975131155923009,92.85,0.9355549144744874,0.7346938775510204,72.60718035697937,1720.1205835342407
24,0.013789248968590982,0.004473799584433436,92.0,1.1281037561893463,0.7408163265306122,72.6523802280426,1792.7729637622833
25,0.03267493422725238,0.00516297079436481,89.15,0.9689144003391266,0.746938775510204,73.14968490600586,1865.9226486682892
26,0.012866482520999853,0.004255154995247722,88.3,1.0447805824279786,0.753061224489796,72.12021160125732,1938.0428602695465
27,0.03188443091791123,0.005277424670755863,92.15,0.8735928084850312,0.7591836734693878,71.41750693321228,2009.4603672027588
28,0.02088714782410534,0.007574087310582399,90.35,1.0221844084262848,0.7653061224489796,72.723557472229,2082.183924674988
29,0.010030034409544896,0.003782753120176494,90.0,0.9126292276382446,0.7714285714285715,73.35051369667053,2155.5344383716583
