Epoch,Train_CLS_Loss,Train_SAC_Loss,Test_Accuracy,Test_Loss,Conf_Threshold,Epoch_Time_s,Cumulative_Time_s
1,0.9875395290793911,0.23237731265685252,67.7,1.2606659642760716,0.8,56.35100245475769,56.35100245475769
2,0.2248703242549973,0.1326725187320863,65.7,1.509815652219076,0.8038461538461539,56.4385404586792,112.78954291343689
3,0.11868686219977756,0.05969039972631201,62.7,1.7433787253167894,0.8076923076923077,52.99234056472778,165.78188347816467
4,0.09120203031136864,0.04325919634392185,61.6,1.8764788319194128,0.8115384615384615,51.98458170890808,217.76646518707275
5,0.11148240899426802,0.030270891203995672,67.4,1.6241639559231107,0.8153846153846154,51.59546947479248,269.36193466186523
6,0.09326346313220359,0.017110203235079686,71.9,1.558441987113347,0.8192307692307692,51.1295371055603,320.49147176742554
7,0.05027264826029779,0.02476478247873245,67.55,1.8355104516422938,0.8230769230769232,51.423203229904175,371.9146749973297
8,0.046635442240644365,0.01910494736606075,72.8,1.6979489515698145,0.826923076923077,51.40728735923767,423.3219623565674
9,0.05081223865460244,0.04240651152306987,68.3,1.8349118686857677,0.8307692307692308,51.839014291763306,475.1609766483307
10,0.05727059220249254,0.023948000743985176,70.65,1.5263214338393438,0.8346153846153846,50.787827491760254,525.9488041400909
11,0.06514227063575338,0.024797418605416052,76.4,1.2911675127725752,0.8384615384615385,51.49483275413513,577.4436368942261
12,0.053385877555551665,0.013341968278250387,77.55,1.30668947904829,0.8423076923076923,51.2589807510376,628.7026176452637
13,0.03819643276473207,0.018382091826248552,76.55,1.2979049058187575,0.8461538461538461,52.030144929885864,680.7327625751495
14,0.01947625737351876,0.01638088747859001,75.55,1.5373270748153565,0.85,51.17686748504639,731.9096300601959
15,0.013624879893951959,0.010113805051772826,74.85,1.3939999446036324,0.8538461538461538,51.013312101364136,782.9229421615601
16,0.03714280465247875,0.015872165200210387,77.75,1.2441168446389457,0.8576923076923078,51.295462131500244,834.2184042930603
17,0.02243577782815743,0.019399020670642777,78.45,1.2522831918701294,0.8615384615384616,51.237531900405884,885.4559361934662
